movieId,title,year,genres,avgRating,ratingCount,tmdbId,imdbId
1207,To Kill a Mockingbird,1962,Drama,4.19,14769,595,56592
913,"Maltese Falcon, The",1941,Film-Noir|Mystery,4.19,12144,963,33870
1260,M,1931,Crime|Film-Noir|Thriller,4.19,4232,832,22100
593,"Silence of the Lambs, The",1991,Crime|Horror|Thriller,4.18,63299,274,102926
1197,"Princess Bride, The",1987,Action|Adventure|Comedy|Fantasy|Romance,4.18,32586,2493,93779
4226,Memento,2000,Mystery|Thriller,4.18,30443,77,209144
1213,Goodfellas,1990,Crime|Drama,4.18,26406,769,99685
2324,Life Is Beautiful (La Vita è bella),1997,Comedy|Drama|Romance|War,4.18,18156,637,118799
1148,Wallace & Gromit: The Wrong Trousers,1993,Animation|Children|Comedy|Crime,4.18,15022,531,108598
1248,Touch of Evil,1958,Crime|Film-Noir|Thriller,4.18,4718,1480,52311
5291,Rashomon (Rashômon),1950,Crime|Drama|Mystery,4.18,3712,548,42876
950,"Thin Man, The",1934,Comedy|Crime,4.18,3358,3529,25878
296,Pulp Fiction,1994,Comedy|Crime|Drama|Thriller,4.17,67310,680,110912
1136,Monty Python and the Holy Grail,1975,Adventure|Comedy|Fantasy,4.17,33024,762,71853
1234,"Sting, The",1973,Comedy|Crime,4.17,14926,9277,70735
745,Wallace & Gromit: A Close Shave,1995,Animation|Children|Comedy,4.17,12073,532,112691
898,"Philadelphia Story, The",1940,Comedy|Drama|Romance,4.17,6583,981,32904
1217,Ran,1985,Drama|War,4.17,4824,11645,89881
905,It Happened One Night,1934,Comedy|Romance,4.17,4184,3078,25316
3307,City Lights,1931,Comedy|Drama|Romance,4.17,2593,901,21749
2858,American Beauty,1999,Comedy|Drama,4.16,44987,14,169547
79132,Inception,2010,Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,4.16,14023,27205,1375666
1204,Lawrence of Arabia,1962,Adventure|Drama|War,4.16,12378,947,56172
1945,On the Waterfront,1954,Crime|Drama,4.16,5644,654,47296
1254,"Treasure of the Sierra Madre, The",1948,Action|Adventure|Drama|Western,4.16,5155,3090,40897
2186,Strangers on a Train,1951,Crime|Drama|Film-Noir|Thriller,4.16,5154,845,44079
1147,When We Were Kings,1996,Documentary,4.16,3737,10548,118147
3022,"General, The",1926,Comedy|War,4.16,2224,961,17925
2203,Shadow of a Doubt,1943,Crime|Drama|Thriller,4.16,2199,21734,36342
2329,American History X,1998,Crime|Drama,4.15,23309,73,120586
903,Vertigo,1958,Drama|Mystery|Romance|Thriller,4.15,14094,426,52357
1172,Cinema Paradiso (Nuovo cinema Paradiso),1989,Drama,4.15,9100,11216,95765
5971,My Neighbor Totoro (Tonari no Totoro),1988,Animation|Children|Drama|Fantasy,4.15,5489,8392,96283
951,His Girl Friday,1940,Comedy|Romance,4.15,3902,3085,32599
5008,Witness for the Prosecution,1957,Drama|Mystery|Thriller,4.15,1620,37257,51201
3134,Grand Illusion (La grande illusion),1937,Drama|War,4.15,1594,777,28950
4993,"Lord of the Rings: The Fellowship of the Ring, The",2001,Adventure|Fantasy,4.14,37553,120,120737
7153,"Lord of the Rings: The Return of the King, The",2003,Action|Adventure|Drama|Fantasy,4.14,31577,122,167260
1233,"Boot, Das (Boat, The)",1981,Action|Drama|War,4.14,13612,387,82096
1262,"Great Escape, The",1963,Action|Adventure|Drama|War,4.14,10904,5925,57115
3462,Modern Times,1936,Comedy|Drama|Romance,4.14,3732,3082,27977
1280,Raise the Red Lantern (Da hong deng long gao gao gua),1991,Drama,4.14,3253,10404,101640
1131,Jean de Florette,1986,Drama|Mystery,4.14,3247,4480,91288
3089,Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette),1948,Drama,4.14,3186,5156,40522
2731,"400 Blows, The (Les quatre cents coups)",1959,Crime|Drama,4.14,2851,147,53198
2351,"Nights of Cabiria (Notti di Cabiria, Le)",1957,Drama,4.14,1152,19426,50783
668,Song of the Little Road (Pather Panchali),1955,Drama,4.14,761,5801,48473
541,Blade Runner,1982,Action|Sci-Fi|Thriller,4.13,30526,78,83658
923,Citizen Kane,1941,Drama|Mystery,4.13,17774,15,33467
1267,"Manchurian Candidate, The",1962,Crime|Thriller|War,4.13,8988,982,56218
1256,Duck Soup,1933,Comedy|Musical|War,4.13,5569,3063,23969
1209,Once Upon a Time in the West (C'era una volta il West),1968,Action|Drama|Western,4.13,4407,335,64116
92259,Intouchables,2011,Comedy|Drama,4.13,2738,77338,1675434
1189,"Thin Blue Line, The",1988,Documentary,4.13,2700,14285,96257
2859,Stop Making Sense,1984,Documentary|Musical,4.13,2192,24128,88178
1949,"Man for All Seasons, A",1966,Drama,4.13,2123,874,60665
2935,"Lady Eve, The",1941,Comedy|Romance,4.13,1398,3086,33804
1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)",1966,Action|Adventure|Western,4.12,14496,429,60196
1224,Henry V,1989,Action|Drama|Romance|War,4.12,4656,10705,97499
928,Rebecca,1940,Drama|Mystery|Romance|Thriller,4.12,4652,223,32976
3468,"Hustler, The",1961,Drama,4.12,3955,990,54997
3429,Creature Comforts,1989,Animation|Comedy,4.12,2585,54825,99317
2360,"Celebration, The (Festen)",1998,Drama,4.12,2292,309,154420
2905,Sanjuro (Tsubaki Sanjûrô),1962,Action|Adventure|Drama,4.12,1209,11712,56443
6669,Ikiru,1952,Drama,4.12,1118,3782,44741
2066,Out of the Past,1947,Film-Noir,4.12,1082,678,39689
2920,Children of Paradise (Les enfants du paradis),1945,Drama|Romance,4.12,1048,2457,37674
670,"World of Apu, The (Apur Sansar)",1959,Drama,4.12,765,896,52572
608,Fargo,1996,Comedy|Crime|Drama|Thriller,4.11,43272,275,116282
5952,"Lord of the Rings: The Two Towers, The",2002,Adventure|Fantasy,4.11,33947,121,167261
111,Taxi Driver,1976,Crime|Drama|Thriller,4.11,24481,103,75314
1208,Apocalypse Now,1979,Action|Drama|War,4.11,23090,28,78788
7361,Eternal Sunshine of the Spotless Mind,2004,Drama|Romance|Sci-Fi,4.11,22352,38,338013
48516,"Departed, The",2006,Crime|Drama|Thriller,4.11,14309,1422,407887
1250,"Bridge on the River Kwai, The",1957,Adventure|Drama|War,4.11,12576,826,50212
1276,Cool Hand Luke,1967,Drama,4.11,11353,903,61512
3196,Stalag 17,1953,Drama|War,4.11,2829,632,46359
942,Laura,1944,Crime|Film-Noir|Mystery,4.11,2641,1939,37008
1939,"Best Years of Our Lives, The",1946,Drama|War,4.11,1834,887,36868
5147,Wild Strawberries (Smultronstället),1957,Drama,4.11,1646,614,50986
7327,Persona,1966,Drama,4.11,1098,797,60827
93040,"Civil War, The",1990,Documentary|War,4.11,256,26397,98769
969,"African Queen, The",1951,Adventure|Comedy|Romance|War,4.1,10526,488,43265
3000,Princess Mononoke (Mononoke-hime),1997,Action|Adventure|Animation|Drama|Fantasy,4.1,9564,128,119698
5782,"Professional, The (Le professionnel)",1981,Action|Drama|Thriller,4.1,4495,1672,82949
1237,"Seventh Seal, The (Sjunde inseglet, Det)",1957,Drama,4.1,4142,490,50976
7156,"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The",2003,Documentary|War,4.1,2589,12698,317910
2357,Central Station (Central do Brasil),1998,Drama,4.1,2390,666,140888
2726,"Killing, The",1956,Crime|Film-Noir,4.1,2100,247,49406
7926,High and Low (Tengoku to jigoku),1963,Crime|Drama|Film-Noir|Thriller,4.1,601,12493,57565
1089,Reservoir Dogs,1992,Crime|Mystery|Thriller,4.09,27635,500,105236
306,Three Colors: Red (Trois couleurs: Rouge),1994,Drama,4.09,7252,110,111495
1299,"Killing Fields, The",1984,Drama|War,4.09,7150,625,87553
27773,Old Boy,2003,Mystery|Thriller,4.09,6207,670,364569
3730,"Conversation, The",1974,Drama|Mystery,4.09,3856,592,71360
7099,Nausicaä of the Valley of the Wind (Kaze no tani no Naushika),1984,Adventure|Animation|Drama|Fantasy|Sci-Fi,4.09,3334,81,87544
5690,Grave of the Fireflies (Hotaru no haka),1988,Animation|Drama|War,4.09,3198,12477,95327
678,Some Folks Call It a Sling Blade,1993,Drama|Thriller,4.09,2677,27768,108181
2208,"Lady Vanishes, The",1938,Drama|Mystery|Thriller,4.09,2196,940,30341
3629,"Gold Rush, The",1925,Adventure|Comedy|Romance,4.09,2032,962,15864
3469,Inherit the Wind,1960,Drama,4.09,1938,1908,53946
2937,"Palm Beach Story, The",1942,Comedy,4.09,879,32255,35169
1617,L.A. Confidential,1997,Crime|Film-Noir|Mystery|Thriller,4.08,26836,2118,119488
1219,Psycho,1960,Crime|Horror,4.08,19649,539,54215
1230,Annie Hall,1977,Comedy|Romance,4.08,15383,703,75686
910,Some Like It Hot,1959,Comedy|Crime,4.08,10922,239,53291
899,Singin' in the Rain,1952,Comedy|Musical|Romance,4.08,10219,872,45152
1228,Raging Bull,1980,Drama,4.08,9711,1578,81398
916,Roman Holiday,1953,Comedy|Drama|Romance,4.08,5961,804,46250
1283,High Noon,1952,Drama|Western,4.08,4941,288,44706
1132,Manon of the Spring (Manon des sources),1986,Drama,4.08,3060,4481,91480
3819,Tampopo,1985,Comedy,4.08,1746,11830,92048
1361,Paradise Lost: The Child Murders at Robin Hood Hills,1996,Documentary,4.08,1591,17204,117293
326,To Live (Huozhe),1994,Drama,4.08,1333,31439,110081
3470,Dersu Uzala,1975,Adventure|Drama,4.08,969,9764,71411
86377,Louis C.K.: Shameless,2007,Comedy,4.08,891,24447,927619
2330,Hands on a Hard Body,1996,Comedy|Documentary,4.08,823,18603,116481
4432,Sweet Smell of Success,1957,Drama|Film-Noir,4.08,789,976,51036
4298,Rififi (Du rififi chez les hommes),1955,Crime|Film-Noir|Thriller,4.08,758,934,48021
7700,"Wages of Fear, The (Salaire de la peur, Le)",1953,Action|Adventure|Drama|Thriller,4.08,712,204,46268
86347,Louis C.K.: Chewed Up,2008,Comedy,4.08,696,30969,1190722
26150,Andrei Rublev (Andrey Rublyov),1969,Drama|War,4.08,579,895,60107
7396,Scenes From a Marriage (Scener ur ett äktenskap),1973,Drama,4.08,497,133919,70644
1225,Amadeus,1984,Drama,4.07,20545,279,86879
1247,"Graduate, The",1967,Comedy|Drama|Romance,4.07,17039,37247,61722
1244,Manhattan,1979,Comedy|Drama|Romance,4.07,8066,696,79522
1223,"Grand Day Out with Wallace and Gromit, A",1989,Adventure|Animation|Children|Comedy|Sci-Fi,4.07,7781,530,104361
800,Lone Star,1996,Drama|Mystery|Western,4.07,7196,26748,116905
31658,Howl's Moving Castle (Hauru no ugoku shiro),2004,Adventure|Animation|Fantasy|Romance,4.07,5607,4935,347149
911,Charade,1963,Comedy|Crime|Mystery|Romance|Thriller,4.07,4062,4808,56923
1281,"Great Dictator, The",1940,Comedy|Drama|War,4.07,3811,914,32553
1950,In the Heat of the Night,1967,Drama|Mystery,4.07,3449,10633,61811
66934,Dr. Horrible's Sing-Along Blog,2008,Comedy|Drama|Musical|Sci-Fi,4.07,3108,14301,1227926
1218,"Killer, The (Die xue shuang xiong)",1989,Action|Crime|Drama|Thriller,4.07,2839,10835,97202
947,My Man Godfrey,1936,Comedy|Romance,4.07,1739,13562,28010
7013,"Night of the Hunter, The",1955,Drama|Film-Noir|Thriller,4.07,1425,3112,48424
26131,"Battle of Algiers, The (La battaglia di Algeri)",1966,Drama|War,4.07,1238,17295,58946
3090,Matewan,1987,Drama,4.07,1128,24276,93509
3077,42 Up,1998,Documentary,4.07,1120,20565,164312
86345,Louis C.K.: Hilarious,2010,Comedy,4.07,919,45523,1421373
6650,Kind Hearts and Coronets,1949,Comedy|Drama,4.07,871,11898,41546
7587,"Samouraï, Le (Godson, The)",1967,Crime|Drama|Thriller,4.07,645,5511,62229
112552,Whiplash,2014,Drama,4.07,602,244786,2582802
26082,Harakiri (Seppuku),1962,Drama,4.07,384,14537,56058
2028,Saving Private Ryan,1998,Action|Drama|War,4.06,37110,857,120815
953,It's a Wonderful Life,1946,Drama|Fantasy|Romance,4.06,14084,1585,38650
1041,Secrets & Lies,1996,Drama,4.06,5625,11159,117589
955,Bringing Up Baby,1938,Comedy|Romance,4.06,4427,900,29947
6350,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta),1986,Action|Adventure|Animation|Children|Fantasy|Sci-Fi,4.06,3537,10515,92067
28,Persuasion,1995,Drama|Romance,4.06,3154,17015,114117
8228,"Maltese Falcon, The (a.k.a. Dangerous Female)",1931,Mystery,4.06,2606,28257,22111
945,Top Hat,1935,Comedy|Musical|Romance,4.06,2120,3080,27125
3801,Anatomy of a Murder,1959,Drama|Mystery,4.06,1702,93,52561
7766,Throne of Blood (Kumonosu jô),1957,Action|Drama|Thriller|War,4.06,1061,3777,50613
92535,Louis C.K.: Live at the Beacon Theater,2011,Comedy,4.06,826,80379,2112999
6783,"Rules of the Game, The (La règle du jeu)",1939,Comedy|Drama,4.06,750,776,31885
47,Seven (a.k.a. Se7en),1995,Mystery|Thriller,4.05,43249,807,114369
2762,"Sixth Sense, The",1999,Drama|Horror|Mystery,4.05,39028,745,167404
293,Léon: The Professional (a.k.a. The Professional) (Léon),1994,Action|Crime|Drama|Thriller,4.05,25804,101,110413
1304,Butch Cassidy and the Sundance Kid,1969,Action|Western,4.05,15558,642,64115
5995,"Pianist, The",2002,Drama|War,4.05,10515,423,253474
1269,Arsenic and Old Lace,1944,Comedy|Mystery|Thriller,4.05,6894,212,36613
909,"Apartment, The",1960,Comedy|Drama|Romance,4.05,5125,284,53604
1251,8 1/2 (8½),1963,Drama|Fantasy,4.05,3096,422,56801
2132,Who's Afraid of Virginia Woolf?,1966,Drama,4.05,3083,396,61184
3983,You Can Count on Me,2000,Drama|Romance,4.05,2903,14295,203230
3035,Mister Roberts,1955,Comedy|Drama|War,4.05,2522,37853,48380
7256,Touching the Void,2003,Adventure|Documentary,4.05,2123,11194,379557
4427,"Lion in Winter, The",1968,Drama,4.05,1633,18988,63227
7132,"Night at the Opera, A",1935,Comedy|Musical|Romance,4.05,1544,37719,26778
3677,Baraka,1992,Documentary,4.05,1440,14002,103767
2936,Sullivan's Travels,1941,Adventure|Comedy|Romance,4.05,1422,16305,34240
3091,Kagemusha,1980,Drama|War,4.05,1333,11953,80979
71033,"Secret in Their Eyes, The (El secreto de sus ojos)",2009,Crime|Drama|Mystery|Romance|Thriller,4.05,1191,25376,1305806
214,Before the Rain (Pred dozhdot),1994,Drama|War,4.05,942,19155,110882
2925,"Conformist, The (Conformista, Il)",1970,Drama,4.05,805,8416,65571
96829,"Hunt, The (Jagten)",2012,Drama,4.05,628,103663,2106476
6643,Tokyo Story (Tôkyô monogatari),1953,Drama,4.05,621,18148,46438
3038,"Face in the Crowd, A",1957,Drama,4.05,608,21849,50371
8656,"Short Film About Killing, A (Krótki film o zabijaniu)",1988,Crime|Drama,4.05,486,10754,95468
5498,Red Beard (Akahige),1965,Drama,4.05,446,3780,58888
60904,Heart of a Dog (Sobachye serdtse),1988,Comedy|Drama|Sci-Fi,4.05,122,43680,96126
110,Braveheart,1995,Action|Drama|War,4.04,53769,197,112573
1214,Alien,1979,Horror|Sci-Fi,4.04,30933,348,78748
4011,Snatch,2000,Comedy|Crime|Thriller,4.04,17617,107,208092
60069,WALL·E,2008,Adventure|Animation|Children|Romance|Sci-Fi,4.04,12176,10681,910970
48394,"Pan's Labyrinth (Laberinto del fauno, El)",2006,Drama|Fantasy|Thriller,4.04,11399,1417,457430
48780,"Prestige, The",2006,Drama|Mystery|Sci-Fi|Thriller,4.04,11269,1124,482571
246,Hoop Dreams,1994,Documentary,4.04,10432,14275,110057
68954,Up,2009,Adventure|Animation|Children|Drama,4.04,9264,14160,1049413
30749,Hotel Rwanda,2004,Drama|War,4.04,8416,205,395169
1272,Patton,1970,Drama|War,4.04,8157,11202,66206
232,Eat Drink Man Woman (Yin shi nan nu),1994,Comedy|Drama|Romance,4.04,6150,10451,111797
1086,Dial M for Murder,1954,Crime|Mystery|Thriller,4.04,5581,521,46912
6787,All the President's Men,1976,Drama|Thriller,4.04,4390,891,74119
99114,Django Unchained,2012,Action|Drama|Western,4.04,4328,68718,1853728
1303,"Man Who Would Be King, The",1975,Adventure|Drama,4.04,3607,983,73341
3741,Badlands,1973,Crime|Drama|Thriller,4.04,2140,3133,69762
213,Burnt by the Sun (Utomlyonnye solntsem),1994,Drama,4.04,1872,50797,111579
1236,Trust,1990,Comedy|Drama|Romance,4.04,942,37291,103130
7234,"Strada, La",1954,Drama,4.04,905,405,47528
6985,"Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La)",1928,Drama,4.04,753,780,19254
7820,"Virgin Spring, The (Jungfrukällan)",1960,Crime|Drama,4.04,477,11656,53976
8125,Sunrise: A Song of Two Humans,1927,Drama|Romance,4.04,461,631,18455
6818,Come and See (Idi i smotri),1985,Drama|War,4.04,413,25237,91251
104069,Louis C.K.: Oh My God,2013,Comedy,4.04,284,185574,2510998
58425,Heima,2007,Documentary,4.04,214,14793,1094594
108979,Cowboy Bebop,1998,Action|Adventure|Animation|Crime|Sci-Fi,4.04,177,314040,213338
93988,North & South,2004,Drama|Romance,4.04,147,147269,417349
32853,"Sorrow and the Pity, The (Le chagrin et la pitié)",1969,Documentary|War,4.04,130,42611,66904
356,Forrest Gump,1994,Comedy|Drama|Romance|War,4.03,66172,13,109830
1704,Good Will Hunting,1997,Drama|Romance,4.03,28324,489,119217
1222,Full Metal Jacket,1987,Drama|War,4.03,21926,600,93058
2692,Run Lola Run (Lola rennt),1998,Action|Crime,4.03,17029,104,130827
1288,This Is Spinal Tap,1984,Comedy,4.03,16054,11031,88258
3949,Requiem for a Dream,2000,Drama,4.03,14515,641,180093
1199,Brazil,1985,Fantasy|Sci-Fi,4.03,13957,68,88846
2804,"Christmas Story, A",1983,Children|Comedy,4.03,12934,850,85334
954,Mr. Smith Goes to Washington,1939,Drama,4.03,5712,3083,31679
3683,Blood Simple,1984,Crime|Drama|Film-Noir,4.03,5053,11368,86979
933,To Catch a Thief,1955,Crime|Mystery|Romance|Thriller,4.03,4699,381,48728
1300,My Life as a Dog (Mitt liv som hund),1985,Comedy|Drama,4.03,3591,8816,89606
26614,"Bourne Identity, The",1988,Action|Adventure|Drama|Mystery|Thriller,4.03,3252,8677,94791
27611,Battlestar Galactica,2003,Drama|Sci-Fi|War,4.03,2884,206216,314979
1273,Down by Law,1986,Comedy|Drama|Film-Noir,4.03,2645,1554,90967
4144,In the Mood For Love (Fa yeung nin wa),2000,Drama|Romance,4.03,2096,843,118694
906,Gaslight,1944,Drama|Thriller,4.03,2057,13528,36855
3811,Breaker Morant,1980,Drama|War,4.03,1793,13783,80310
2843,"Black Cat, White Cat (Crna macka, beli macor)",1998,Comedy|Romance,4.03,1335,1075,118843
7215,To Have and Have Not,1944,Adventure|Drama|Romance|Thriller|War,4.03,892,22584,37382
7767,"Best of Youth, The (La meglio gioventù)",2003,Drama,4.03,425,11659,346336
6918,"Unvanquished, The (Aparajito)",1957,Drama,4.03,338,897,48956
7938,Winter Light (Nattvardsgästerna),1963,Drama,4.03,318,29455,57358
6896,Shoah,1985,Documentary|War,4.03,220,42044,90015
33779,Eddie Izzard: Dress to Kill,1999,Comedy,4.03,208,13589,184424
4878,Donnie Darko,2001,Drama|Mystery|Sci-Fi|Thriller,4.02,18731,141,246578
1358,Sling Blade,1996,Drama,4.02,13451,12498,117666
68157,Inglourious Basterds,2009,Action|Drama|War,4.02,9447,16869,361748
81845,"King's Speech, The",2010,Drama,4.02,5629,45269,1504320
4235,Amores Perros (Love's a Bitch),2000,Drama|Thriller,4.02,5511,55,245712
3504,Network,1976,Comedy|Drama,4.02,5206,10774,74958
68237,Moon,2009,Drama|Mystery|Sci-Fi|Thriller,4.02,4867,17431,1182345
31410,"Downfall (Untergang, Der)",2004,Drama|War,4.02,3998,613,363163
2973,Crimes and Misdemeanors,1989,Comedy|Crime|Drama,4.02,3946,11562,97123
1211,"Wings of Desire (Himmel über Berlin, Der)",1987,Drama|Fantasy|Romance,4.02,3654,144,93191
3088,Harvey,1950,Comedy|Fantasy,4.02,3471,11787,42546
3359,Breaking Away,1979,Comedy|Drama,4.02,3174,20283,78902
1264,Diva,1981,Action|Drama|Mystery|Romance|Thriller,4.02,2649,4485,82269
109487,Interstellar,2014,Sci-Fi|IMAX,4.02,1739,157336,816692
7669,Pride and Prejudice,1995,Drama|Romance,4.02,1734,164721,112130
1232,Stalker,1979,Drama|Mystery|Sci-Fi,4.02,1663,1398,79944
8014,"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom)",2003,Drama,4.02,1643,113,374546
3634,Seven Days in May,1964,Thriller,4.02,895,23518,58576
7566,28 Up,1985,Documentary,4.02,756,20561,88650
85774,Senna,2010,Documentary,4.02,719,58496,1424432
1900,"Children of Heaven, The (Bacheha-Ye Aseman)",1997,Comedy|Drama,4.02,712,21334,118849
38159,"Short Film About Love, A (Krótki film o milosci)",1988,Drama|Romance,4.02,224,31056,95467
1291,Indiana Jones and the Last Crusade,1989,Action|Adventure,4.01,31280,89,97576
1200,Aliens,1986,Action|Adventure|Horror|Sci-Fi,4.01,27206,679,90605
778,Trainspotting,1996,Comedy|Crime|Drama,4.01,23589,627,117951
1258,"Shining, The",1980,Horror,4.01,23410,694,81505
1104,"Streetcar Named Desire, A",1951,Drama,4.01,6372,702,44081
162,Crumb,1994,Documentary,4.01,5995,26564,109508
78499,Toy Story 3,2010,Adventure|Animation|Children|Comedy|Fantasy|IMAX,4.01,5781,10193,435761
994,Big Night,1996,Comedy|Drama,4.01,5299,18203,115678
3083,All About My Mother (Todo sobre mi madre),1999,Drama,4.01,4332,99,185125
3095,"Grapes of Wrath, The",1940,Drama,4.01,3674,596,32551
61240,Let the Right One In (Låt den rätte komma in),2008,Drama|Fantasy|Horror|Romance,4.01,3040,13310,1139797
3334,Key Largo,1948,Crime|Drama|Film-Noir|Thriller,4.01,2817,11016,40506
1446,Kolya (Kolja),1996,Comedy|Drama,4.01,2237,784,116790
4914,Breathless (À bout de souffle),1960,Crime|Drama|Romance,4.01,1672,269,53472
936,Ninotchka,1939,Comedy|Romance,4.01,1410,1859,31725
80906,Inside Job,2010,Documentary,4.01,1173,44639,1645089
7116,Diabolique (Les diaboliques),1955,Horror|Mystery|Thriller,4.01,1052,827,46911
30803,3-Iron (Bin-jip),2004,Drama|Romance,4.01,1037,1280,423866
62336,FLCL,2000,Animation|Comedy|Fantasy|Sci-Fi,4.01,679,225130,279077
3789,"Pawnbroker, The",1964,Drama,4.01,652,20540,59575
3224,Woman in the Dunes (Suna no onna),1964,Drama,4.01,648,16672,58625
8491,White Heat,1949,Crime|Drama|Film-Noir,4.01,636,15794,42041
86781,Incendies,2010,Drama|Mystery|War,4.01,518,46738,1255953
2931,Time of the Gypsies (Dom za vesanje),1989,Comedy|Crime|Drama|Fantasy,4.01,345,20123,97223
602,"Great Day in Harlem, A",1994,Documentary,4.01,340,124472,109934
27002,From the Earth to the Moon,1998,Action|Documentary|Drama|Thriller,4.01,330,30983,120570
7941,Smiles of a Summer Night (Sommarnattens leende),1955,Comedy|Romance,4.01,326,11700,48641
8516,"Matter of Life and Death, A (Stairway to Heaven)",1946,Drama|Fantasy|Romance,4.01,297,28162,38733
96606,Samsara,2011,Documentary,4.01,288,89708,770802
1210,Star Wars: Episode VI - Return of the Jedi,1983,Action|Adventure|Sci-Fi,4.0,46839,1892,86190
1206,"Clockwork Orange, A",1971,Crime|Drama|Sci-Fi|Thriller,4.0,24694,185,66921
1259,Stand by Me,1986,Adventure|Drama,4.0,20804,235,92005
1278,Young Frankenstein,1974,Comedy|Fantasy,4.0,15087,3034,72431
1235,Harold and Maude,1971,Comedy|Drama|Romance,4.0,8066,343,67185
1952,Midnight Cowboy,1969,Drama,4.0,6302,3116,64665
91529,"Dark Knight Rises, The",2012,Action|Adventure|Crime|IMAX,4.0,4770,49026,1345836
76093,How to Train Your Dragon,2010,Adventure|Animation|Children|Fantasy|IMAX,4.0,4761,10191,892769
290,Once Were Warriors,1994,Crime|Drama,4.0,4042,527,110729
1719,"Sweet Hereafter, The",1997,Drama,4.0,3756,10217,120255
965,"39 Steps, The",1935,Drama|Mystery|Thriller,4.0,3624,260,26029
5878,Talk to Her (Hable con Ella),2002,Drama|Romance,4.0,3398,64,287467
599,"Wild Bunch, The",1969,Adventure|Western,4.0,3174,576,65214
3152,"Last Picture Show, The",1971,Drama,4.0,2732,25188,67328
82,Antonia's Line (Antonia),1995,Comedy|Drama,4.0,2538,880,112379
97,"Hate (Haine, La)",1995,Crime|Drama,4.0,1963,406,113247
3097,"Shop Around the Corner, The",1940,Comedy|Drama|Romance,4.0,1637,20334,33045
71899,Mary and Max,2009,Animation|Comedy|Drama,4.0,1334,24238,978762
5385,"Last Waltz, The",1978,Documentary,4.0,929,13963,77838
8477,"Pier, The (Jetée, La)",1962,Romance|Sci-Fi,4.0,759,662,56119
