isbn,title,author,year,publisher,coverMedium,avgRating,ratingCount
0394823370,The Lorax,Dr. Seuss,1971,Random House Children's Books,http://images.amazon.com/images/P/0394823370.01.MZZZZZZZ.jpg,9.8,10
1573247022,The Food Revolution: How Your Diet Can Help Save Your Life and Our World,John Robbins,2001,Conari Press,http://images.amazon.com/images/P/1573247022.01.MZZZZZZZ.jpg,9.8,5
1566191432,Pride &amp; Prejudice,Jane Austen,1993,Dorset Press,http://images.amazon.com/images/P/1566191432.01.MZZZZZZZ.jpg,9.8,5
096265342X,Principia Discordia,Omar K. Ravenhurst,1991,Illuminet Press,http://images.amazon.com/images/P/096265342X.01.MZZZZZZZ.jpg,9.8,5
0064400972,Betsy-Tacy and Tib (Betsy-Tacy),Maud Hart Lovelace,1979,HarperTrophy,http://images.amazon.com/images/P/0064400972.01.MZZZZZZZ.jpg,9.8,5
0898702682,Joan of Arc,Mark Twain,1989,Ignatius Press,http://images.amazon.com/images/P/0898702682.01.MZZZZZZZ.jpg,9.8,5
0684803763,MINDHUNTER : INSIDE THE FBI'S ELITE SERIAL CRIME UNIT,John E. Douglas,1995,Scribner,http://images.amazon.com/images/P/0684803763.01.MZZZZZZZ.jpg,9.8,5
3608935428,Die Zwei Turme II,J. R. R. Tolkien,2001,Distribooks,http://images.amazon.com/images/P/3608935428.01.MZZZZZZZ.jpg,9.8,5
0064401111,Betsy in Spite of Herself (Harper Trophy Book),Maud H. Lovelace,1994,HarperTrophy,http://images.amazon.com/images/P/0064401111.01.MZZZZZZZ.jpg,9.8,5
1583940537,"Walter, the Farting Dog (Walter the Farting Dog)",William Kotzwinkle,2001,North Atlantic Books,http://images.amazon.com/images/P/1583940537.01.MZZZZZZZ.jpg,9.8,5
2290312924,"Le Cycle d'Ender, tome 2 : La Voix des morts",Scott Card Orson,2001,J'ai lu,http://images.amazon.com/images/P/2290312924.01.MZZZZZZZ.jpg,9.8,5
096268743X,Living Deliberately: The Discovery and Development of Avatar,Harry Palmer,1994,Star's Edge International,http://images.amazon.com/images/P/096268743X.01.MZZZZZZZ.jpg,9.8,5
1931543380,Knitting Journal,Char Loving,2003,Sixth&amp;Spring Books,http://images.amazon.com/images/P/1931543380.01.MZZZZZZZ.jpg,9.8,5
1571458506,Uncle John's Bathroom Reader Plunges into the Universe (Bathroom Reader Series),Bathroom Readers Hysterical Society,2002,Portable Publishing,http://images.amazon.com/images/P/1571458506.01.MZZZZZZZ.jpg,9.8,5
0312110839,Tully,Paullina Simons,1994,St Martins Pr,http://images.amazon.com/images/P/0312110839.01.MZZZZZZZ.jpg,9.8,5
0394800389,Fox in Socks (I Can Read It All by Myself Beginner Books),Dr. Seuss,1965,Random House Children's Books,http://images.amazon.com/images/P/0394800389.01.MZZZZZZZ.jpg,9.79,14
0345418913,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1997,Ballantine Books,http://images.amazon.com/images/P/0345418913.01.MZZZZZZZ.jpg,9.78,9
0060256656,The Giving Tree,Shel Silverstein,1964,HarperCollins Publishers,http://images.amazon.com/images/P/0060256656.01.MZZZZZZZ.jpg,9.75,20
0694003611,Goodnight Moon Board Book,Margaret Wise Brown,1991,HarperFestival,http://images.amazon.com/images/P/0694003611.01.MZZZZZZZ.jpg,9.75,8
0312099045,Route 66 Postcards: Greetings from the Mother Road,Michael Wallis,1993,St. Martin's Press,http://images.amazon.com/images/P/0312099045.01.MZZZZZZZ.jpg,9.73,11
0618002235,"The Two Towers (The Lord of the Rings, Part 2)",J. R. R. Tolkien,1999,Houghton Mifflin Company,http://images.amazon.com/images/P/0618002235.01.MZZZZZZZ.jpg,9.72,25
0553212427,Sherlock Holmes: The Complete Novels and Stories (Sherlock Holmes),Arthur Conan Doyle,1986,Bantam,http://images.amazon.com/images/P/0553212427.01.MZZZZZZZ.jpg,9.71,7
0395645662,The Giver (Newbery Medal Book),Lois Lowry,1993,Houghton Mifflin/Walter Lorraine Books,http://images.amazon.com/images/P/0395645662.01.MZZZZZZZ.jpg,9.71,7
3499224623,Maus 2. Und hier begann mein UnglÃ?Â¼ck. Die Geschichte eines Ã?Â?berlebenden.,Art Spiegelman,1999,Rowohlt Tb.,http://images.amazon.com/images/P/3499224623.01.MZZZZZZZ.jpg,9.71,7
0440977096,The Secret Garden,Frances Hodgson Burnett,1989,Laure Leaf,http://images.amazon.com/images/P/0440977096.01.MZZZZZZZ.jpg,9.71,7
3458171703,Der Schatten des Windes.,Carlos Ruiz Zafon,2003,"Insel, Frankfurt",http://images.amazon.com/images/P/3458171703.01.MZZZZZZZ.jpg,9.71,7
0152023984,The Little Prince,Antoine de Saint-ExupÃ©ry,2000,Harcourt Children's Books,http://images.amazon.com/images/P/0152023984.01.MZZZZZZZ.jpg,9.71,7
0765343266,Son of the Shadows (The Sevenwaters Trilogy),Juliet Marillier,2002,Tor Fantasy,http://images.amazon.com/images/P/0765343266.01.MZZZZZZZ.jpg,9.71,7
0684842319,Our Bodies Ourselves For The New Century (A Touchstone book),Boston Women's Health Book Collective,1998,Touchstone,http://images.amazon.com/images/P/0684842319.01.MZZZZZZZ.jpg,9.71,7
006019250X,The Illustrated Alchemist: A Fable About Following Your Dream,Paulo Coelho,1998,HarperCollins Publishers,http://images.amazon.com/images/P/006019250X.01.MZZZZZZZ.jpg,9.71,7
3499224615,Maus 1. Mein Vater kotzt Geschichte aus. Die Geschichte eines Ã?Â?berlebenden.,Art Spiegelman,1999,Rowohlt Tb.,http://images.amazon.com/images/P/3499224615.01.MZZZZZZZ.jpg,9.7,10
0762409533,TOLKIEN MAGNETIC POSTCARDS(tm) 12 Full-color Magnetic Postcards to Send or Save,Brothers Hildebrandt,2001,Running Press Book Publishers,http://images.amazon.com/images/P/0762409533.01.MZZZZZZZ.jpg,9.67,9
0877799156,The Official Scrabble Players Dictionary (Third Edition),Merriam-Webster,1996,Merriam-Webster,http://images.amazon.com/images/P/0877799156.01.MZZZZZZZ.jpg,9.67,6
0689859368,"The Field Guide (The Spiderwick Chronicles, Book 1)",Tony DiTerlizzi,2003,Simon &amp; Schuster Children's Publishing,http://images.amazon.com/images/P/0689859368.01.MZZZZZZZ.jpg,9.67,6
0064400980,Betsy and Tacy Go Downtown (Betsy-Tacy),Maud Hart Lovelace,2000,HarperTrophy,http://images.amazon.com/images/P/0064400980.01.MZZZZZZZ.jpg,9.67,6
0060194995,To Kill a Mockingbird : The 40th Anniversary Edition of the Pulitzer Prize-Winning Novel,Harper Lee,1999,HarperCollins,http://images.amazon.com/images/P/0060194995.01.MZZZZZZZ.jpg,9.67,6
0486268659,A Christmas Carol (Dover Thrift Editions),Charles Dickens,1991,Dover Publications,http://images.amazon.com/images/P/0486268659.01.MZZZZZZZ.jpg,9.67,6
0395071224,The Hobbit,J. R. R. Tolkien,1938,Houghton Mifflin Company,http://images.amazon.com/images/P/0395071224.01.MZZZZZZZ.jpg,9.67,6
1561840564,Prometheus Rising,Robert Anton Wilson,1992,New Falcon Publications,http://images.amazon.com/images/P/1561840564.01.MZZZZZZZ.jpg,9.67,6
0807068195,New and Selected Poems,Mary Oliver,1993,Beacon Press,http://images.amazon.com/images/P/0807068195.01.MZZZZZZZ.jpg,9.67,6
0849912970,Traveling Light: Releasing the Burdens You Were Never Intended to Bear,Max Lucado,2001,W Publishing Group,http://images.amazon.com/images/P/0849912970.01.MZZZZZZZ.jpg,9.67,6
0307010368,Snow White and the Seven Dwarfs,Little Golden Staff,1994,Random House of Canada,http://images.amazon.com/images/P/0307010368.01.MZZZZZZZ.jpg,9.67,6
031286860X,Ender's Shadow (Ender Wiggins Saga (Hardcover)),Orson Scott Card,1999,Tor Books,http://images.amazon.com/images/P/031286860X.01.MZZZZZZZ.jpg,9.67,6
017443460X,King Lear (3rd Series),William Shakespeare,1997,Arden Shakespeare,http://images.amazon.com/images/P/017443460X.01.MZZZZZZZ.jpg,9.67,6
0618002243,"The Return of the King (The Lord of The Rings, Part 3)",J. R. R. Tolkien,1999,Houghton Mifflin Company,http://images.amazon.com/images/P/0618002243.01.MZZZZZZZ.jpg,9.62,16
0020868308,"Mere Christianity: A revised and enlarged edition, with a new introduction, of the three books, The case for Christianity, Christian behaviour, and Beyond personality",C. S Lewis,1984,Macmillan Pub. Co,http://images.amazon.com/images/P/0020868308.01.MZZZZZZZ.jpg,9.62,8
0064405036,"The Last Battle (The Chronicles of Narnia, Book 7)",C. S. Lewis,1994,HarperTrophy,http://images.amazon.com/images/P/0064405036.01.MZZZZZZZ.jpg,9.62,8
0836218221,The Authoritative Calvin and Hobbes (Calvin and Hobbes),Bill Watterson,1990,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836218221.01.MZZZZZZZ.jpg,9.6,20
3551551936,Harry Potter Und Der Feuerkelch,Joanne K. Rowling,1999,Carlsen Verlag GmbH,http://images.amazon.com/images/P/3551551936.01.MZZZZZZZ.jpg,9.6,10
0898861098,Miles from Nowhere: A Round the World Bicycle Adventure,Barbara Savage,1985,Mountaineers Books,http://images.amazon.com/images/P/0898861098.01.MZZZZZZZ.jpg,9.6,5
1410729435,Lucy's Treasure,G. E. Dabbs,2003,Authorhouse,http://images.amazon.com/images/P/1410729435.01.MZZZZZZZ.jpg,9.6,5
059098182X,Hatchet,Gary Paulsen,1999,Scholastic,http://images.amazon.com/images/P/059098182X.01.MZZZZZZZ.jpg,9.6,5
0515101486,Special Operations (Badge of Honor Novels (Paperback)),W. E. B. Griffin,1995,Jove Books,http://images.amazon.com/images/P/0515101486.01.MZZZZZZZ.jpg,9.6,5
0684818701,The New Joy of Cooking,Marion Rombauer Becker,1997,Scribner,http://images.amazon.com/images/P/0684818701.01.MZZZZZZZ.jpg,9.6,5
014050639X,Each Peach Pear Plum (Picture Puffins),Janet Ahlberg,1986,Puffin Books,http://images.amazon.com/images/P/014050639X.01.MZZZZZZZ.jpg,9.6,5
0060964057,More Tales of the City,Armistead Maupin,1989,Harpercollins Publisher,http://images.amazon.com/images/P/0060964057.01.MZZZZZZZ.jpg,9.6,5
1558538445,I Hope You Dance,Mark D. Sanders,2000,Rutledge Hill Press,http://images.amazon.com/images/P/1558538445.01.MZZZZZZZ.jpg,9.6,5
0843951532,Four Dark Nights,Bentley Little,2003,Leisure Books,http://images.amazon.com/images/P/0843951532.01.MZZZZZZZ.jpg,9.6,5
0440430909,A Girl of the Limberlost,Gene Stratton-Porter,1996,Yearling Books,http://images.amazon.com/images/P/0440430909.01.MZZZZZZZ.jpg,9.6,5
2895400644,J'Ã?Â©tais si timide que j'ai mordu la maÃ?Â®tresse,Minne,2003,Les 400 coups,http://images.amazon.com/images/P/2895400644.01.MZZZZZZZ.jpg,9.6,5
0064430170,Goodnight Moon,Margaret Wise Brown,1977,HarperTrophy,http://images.amazon.com/images/P/0064430170.01.MZZZZZZZ.jpg,9.6,5
1558530711,P. S. I Love You,"H. Jackson, Jr. Brown",1990,Thomas Nelson,http://images.amazon.com/images/P/1558530711.01.MZZZZZZZ.jpg,9.6,5
1551669056,Between Friends,Debbie Macomber,2002,Mira,http://images.amazon.com/images/P/1551669056.01.MZZZZZZZ.jpg,9.6,5
0345298748,Moreta: Dragonlady of Pern,Anne McCaffrey,1983,Ballantine Books,http://images.amazon.com/images/P/0345298748.01.MZZZZZZZ.jpg,9.6,5
0373871589,Redeeming Claire (Love Inspired (Numbered)),Cynthia Rutledge,2001,Steeple Hill,http://images.amazon.com/images/P/0373871589.01.MZZZZZZZ.jpg,9.6,5
0425189058,Lover Beware,Christine Feehan,2003,Berkley Publishing Group,http://images.amazon.com/images/P/0425189058.01.MZZZZZZZ.jpg,9.6,5
0929239571,My Utmost for His Highest: An Updated Edition in Today's Language,Oswald Chambers,1992,Discovery House Publishers,http://images.amazon.com/images/P/0929239571.01.MZZZZZZZ.jpg,9.6,5
0761128182,Stitch 'N Bitch: The Knitter's Handbook,Debbie Stoller,2003,Workman Publishing,http://images.amazon.com/images/P/0761128182.01.MZZZZZZZ.jpg,9.6,5
0140320970,The Twenty-One Balloons,William Pene du Bois,1986,Puffin Books,http://images.amazon.com/images/P/0140320970.01.MZZZZZZZ.jpg,9.6,5
0395259398,Mike Mulligan and His Steam Shovel (Sandpiper Books),Virginia Lee Burton,1977,Houghton Mifflin,http://images.amazon.com/images/P/0395259398.01.MZZZZZZZ.jpg,9.6,5
0316108677,His Kisses Are Dreamy...but Those Hairballs Down My Cleavage...!: Another Tender Outland Collection,Berkeley Breathed,1994,Little Brown &amp; Co,http://images.amazon.com/images/P/0316108677.01.MZZZZZZZ.jpg,9.6,5
0679601686,Pride and Prejudice (Modern Library),JANE AUSTEN,1995,Modern Library,http://images.amazon.com/images/P/0679601686.01.MZZZZZZZ.jpg,9.6,5
1568650108,Support Your Local Wizard,Diane Duane,1990,Bantam Doubleday Dell,http://images.amazon.com/images/P/1568650108.01.MZZZZZZZ.jpg,9.6,5
0747264880,Nadia Knows Best,Jill Mansell,2004,Headline,http://images.amazon.com/images/P/0747264880.01.MZZZZZZZ.jpg,9.6,5
0316150363,Dogs and Their Women,Louise Taylor,1989,"Little, Brown",http://images.amazon.com/images/P/0316150363.01.MZZZZZZZ.jpg,9.6,5
0020264763,AGE OF INNOCENCE,Edith Wharton,1992,Scribner,http://images.amazon.com/images/P/0020264763.01.MZZZZZZZ.jpg,9.6,5
1573220426,Kitchen Table Wisdom: Stories That Heal,Rachel Naomi Remen,1996,Riverhead Books,http://images.amazon.com/images/P/1573220426.01.MZZZZZZZ.jpg,9.6,5
0152802177,Stellaluna,Janell Cannon,1993,Harcourt Children's Books,http://images.amazon.com/images/P/0152802177.01.MZZZZZZZ.jpg,9.6,5
0140434674,Persuasion (Penguin Classics),Jane Austen,1999,Penguin Books,http://images.amazon.com/images/P/0140434674.01.MZZZZZZZ.jpg,9.6,5
0618249060,Silent Spring,Rachel Carson,2002,Mariner Books,http://images.amazon.com/images/P/0618249060.01.MZZZZZZZ.jpg,9.6,5
0060609176,Meeting Jesus Again for the First Time : The Historical Jesus and the Heart of Contemporary Faith,Marcus J. Borg,1995,HarperSanFrancisco,http://images.amazon.com/images/P/0060609176.01.MZZZZZZZ.jpg,9.6,5
0060927488,"A Return to Love: Reflections on the Principles of \A Course in Miracles\""""",Marianne Williamson,1996,Perennial Currents,http://images.amazon.com/images/P/0060927488.01.MZZZZZZZ.jpg,9.6,5
1570624097,The Places That Scare You: A Guide to Fearlessness in Difficult Times,Pema Chodron,2001,Shambhala,http://images.amazon.com/images/P/1570624097.01.MZZZZZZZ.jpg,9.6,5
0836220889,Calvin and Hobbes,Bill Watterson,1987,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836220889.01.MZZZZZZZ.jpg,9.58,24
0062509594,Essential Rumi,Coleman Barks,1997,HarperSanFrancisco,http://images.amazon.com/images/P/0062509594.01.MZZZZZZZ.jpg,9.57,7
0345318587,The Hobbit,J R R Tolkien,1981,Ballantine Books,http://images.amazon.com/images/P/0345318587.01.MZZZZZZZ.jpg,9.57,7
8478885196,Harry Potter y el prisionero de Azkaban,J. K. Rowling,2000,Salamandra,http://images.amazon.com/images/P/8478885196.01.MZZZZZZZ.jpg,9.57,7
0198117477,William Shakespeare: The Complete Works,William Shakespeare,1988,Oxford University Press,http://images.amazon.com/images/P/0198117477.01.MZZZZZZZ.jpg,9.57,7
0394809378,The Foot Book (Bright and Early Books for Beginning Beginners),Dr. Seuss,1968,Random House Children's Books,http://images.amazon.com/images/P/0394809378.01.MZZZZZZZ.jpg,9.57,7
0380002558,The Velveteen Rabbit,Margery Williams,1999,Avon,http://images.amazon.com/images/P/0380002558.01.MZZZZZZZ.jpg,9.57,7
0451128389,Christine,Stephen King,1983,Penguin Putnam~mass,http://images.amazon.com/images/P/0451128389.01.MZZZZZZZ.jpg,9.57,7
0312872402,Kushiel's Avatar (Kushiel's Legacy),Jacqueline Carey,2003,Tor Books,http://images.amazon.com/images/P/0312872402.01.MZZZZZZZ.jpg,9.56,9
950491036X,La Sombra del Viento,Carlos Ruiz Zafon,2003,Planeta,http://images.amazon.com/images/P/950491036X.01.MZZZZZZZ.jpg,9.56,9
0553212419,Sherlock Holmes : The Complete Novels and Stories (Bantam Classic) Volume I,"Arthur Conan, Sir Doyle",1986,Bantam,http://images.amazon.com/images/P/0553212419.01.MZZZZZZZ.jpg,9.56,9
067162461X,LONESOME DOVE  M,Larry McMurtry,1989,Pocket,http://images.amazon.com/images/P/067162461X.01.MZZZZZZZ.jpg,9.56,9
0380542625,One Child,Torey Hayden,1981,Avon,http://images.amazon.com/images/P/0380542625.01.MZZZZZZZ.jpg,9.56,9
0743454529,"My Sister's Keeper : A Novel (Picoult, Jodi)",Jodi Picoult,2004,Atria,http://images.amazon.com/images/P/0743454529.01.MZZZZZZZ.jpg,9.55,22
0811824829,52 Deck Series: 52 Ways to Celebrate Friendship,Lynn Gordon,2000,Chronicle Books,http://images.amazon.com/images/P/0811824829.01.MZZZZZZZ.jpg,9.5,16
0394800184,Are You My Mother?,Philip D. Eastman,1960,Random House Children's Books,http://images.amazon.com/images/P/0394800184.01.MZZZZZZZ.jpg,9.5,12
0553242954,Anne of Green Gables (Bantam Starfire Book),L.M. Montgomery,1986,Bantam,http://images.amazon.com/images/P/0553242954.01.MZZZZZZZ.jpg,9.5,10
0394800796,How the Grinch Stole Christmas!,Dr. Seuss,1957,Random House Books for Young Readers,http://images.amazon.com/images/P/0394800796.01.MZZZZZZZ.jpg,9.5,10
3551551693,Harry Potter und der Gefangene von Azkaban,J. K. Rowling,1999,Carlsen Verlag GmbH,http://images.amazon.com/images/P/3551551693.01.MZZZZZZZ.jpg,9.5,10
1551669501,Diamond Spur,Diana Palmer,2002,Mira,http://images.amazon.com/images/P/1551669501.01.MZZZZZZZ.jpg,9.5,8
0931432820,The Complete Book of Essential Oils and Aromatherapy,Valerie Ann Worwood,1991,New World Library,http://images.amazon.com/images/P/0931432820.01.MZZZZZZZ.jpg,9.5,8
0671526022,Color Purple,Alice Walker,1983,Washington Square Press,http://images.amazon.com/images/P/0671526022.01.MZZZZZZZ.jpg,9.5,8
0823401898,The Shrinking of Treehorn,Florence Parry Heide,1971,Holiday House,http://images.amazon.com/images/P/0823401898.01.MZZZZZZZ.jpg,9.5,8
0385326335,A Letter to Mrs. Roosevelt,C. COCO DE YOUNG,1999,Delacorte Books for Young Readers,http://images.amazon.com/images/P/0385326335.01.MZZZZZZZ.jpg,9.5,8
067084487X,The Stinky Cheeseman and Other Fairly Stupid Tales (Caldecott Honor Book),Jon Scieszka,1993,Viking Books,http://images.amazon.com/images/P/067084487X.01.MZZZZZZZ.jpg,9.5,6
0553213601,Cyrano De Bergerac (Bantam Classics),EDMOND ROSTAND,1950,Bantam,http://images.amazon.com/images/P/0553213601.01.MZZZZZZZ.jpg,9.5,6
044012929X,"God Bless You, Mr. Rosewater or Pearls Before Swine",Kurt Vonnegut,1991,Dell Publishing Company,http://images.amazon.com/images/P/044012929X.01.MZZZZZZZ.jpg,9.5,6
0736909672,"After Anne (Henke, Roxanne, Coming Home to Brewster, 1.)",Roxanne Henke,2002,Harvest House Publishers,http://images.amazon.com/images/P/0736909672.01.MZZZZZZZ.jpg,9.5,6
0446532444,Three Weeks with My Brother,Micah Sparks,2004,Warner Books,http://images.amazon.com/images/P/0446532444.01.MZZZZZZZ.jpg,9.5,6
3442441080,Im Angesicht des Feindes.,Elizabeth George,1998,Goldmann,http://images.amazon.com/images/P/3442441080.01.MZZZZZZZ.jpg,9.5,6
014032724X,Hatchet,Gary Paulsen,1988,Penguin USA,http://images.amazon.com/images/P/014032724X.01.MZZZZZZZ.jpg,9.5,6
0307336565,Birds of North America (Golden Field Guides),Chandler S. Robbins,1983,Golden Books,http://images.amazon.com/images/P/0307336565.01.MZZZZZZZ.jpg,9.5,6
0425103285,Mrs. Mike,Benedict Freedman,1994,Berkley Publishing Group,http://images.amazon.com/images/P/0425103285.01.MZZZZZZZ.jpg,9.5,6
0743219333,Baby Catcher : Chronicles of a Modern Midwife,Peggy Vincent,2002,Scribner,http://images.amazon.com/images/P/0743219333.01.MZZZZZZZ.jpg,9.5,6
0440404908,Fudge-A-Mania,Judy Blume,1991,Yearling,http://images.amazon.com/images/P/0440404908.01.MZZZZZZZ.jpg,9.5,6
0140434267,Pride and Prejudice (Penguin Classics),Jane Austen,1997,Penguin Books,http://images.amazon.com/images/P/0140434267.01.MZZZZZZZ.jpg,9.5,6
038549422X,The Freedom Writers Diary : How a Teacher and 150 Teens Used Writing to Change Themselves and the World Around Them,Freedom Writers,1999,Main Street Books,http://images.amazon.com/images/P/038549422X.01.MZZZZZZZ.jpg,9.5,6
2070524558,Harry Potter et la chambre des secrets,J. K. Rowling,1999,Gallimard Jeunesse,http://images.amazon.com/images/P/2070524558.01.MZZZZZZZ.jpg,9.5,6
0517559501,The original Hitchhiker radio scripts,Douglas Adams,1985,Harmony Books,http://images.amazon.com/images/P/0517559501.01.MZZZZZZZ.jpg,9.5,6
1563892057,"The Kindly Ones (Sandman, Book 9)",Neil Gaiman,1996,DC Comics,http://images.amazon.com/images/P/1563892057.01.MZZZZZZZ.jpg,9.5,6
1561483176,Fix-It and Forget-It Cookbook: Feasting with Your Slow Cooker,Dawn J. Ranck,2001,Good Books,http://images.amazon.com/images/P/1561483176.01.MZZZZZZZ.jpg,9.5,6
078691551X,"Dungeon Master's Guide: Core Rulebook II (Dungeons &amp; Dragons, Third Edition)",Monte Cook,2000,Wizards of the Coast,http://images.amazon.com/images/P/078691551X.01.MZZZZZZZ.jpg,9.5,6
0786915528,"Monster Manual: Core Rulebook III (Dungeons &amp; Dragons, Third Edition)",Skip Williams,2000,Wizards of the Coast,http://images.amazon.com/images/P/0786915528.01.MZZZZZZZ.jpg,9.5,6
0312141440,Vurt (Vurt),Jeff Noon,1996,St. Martin's Griffin,http://images.amazon.com/images/P/0312141440.01.MZZZZZZZ.jpg,9.5,6
0140143505,84 Charing Cross Road,Helene Hanff,1990,Penguin Books,http://images.amazon.com/images/P/0140143505.01.MZZZZZZZ.jpg,9.46,28
0812533550,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1986,Tor Books,http://images.amazon.com/images/P/0812533550.01.MZZZZZZZ.jpg,9.46,13
0141301058,The BFG,Roald Dahl,1998,Puffin Books,http://images.amazon.com/images/P/0141301058.01.MZZZZZZZ.jpg,9.45,11
0743444477,Letters for Emily,Camron Wright,2003,Pocket,http://images.amazon.com/images/P/0743444477.01.MZZZZZZZ.jpg,9.45,11
0066238501,Complete Chronicles of Narnia,C. S. Lewis,2001,Harpercollins Juvenile Books,http://images.amazon.com/images/P/0066238501.01.MZZZZZZZ.jpg,9.44,18
1563891336,Death: The High Cost of Living,Neil Gaiman,1994,DC Comics,http://images.amazon.com/images/P/1563891336.01.MZZZZZZZ.jpg,9.44,9
0380012774,The Importance of Being Earnest,Oscar Wilde,1976,Avon,http://images.amazon.com/images/P/0380012774.01.MZZZZZZZ.jpg,9.43,7
1573222453,The Kite Runner (Alex Awards (Awards)),Khaled Hosseini,2003,Riverhead Books,http://images.amazon.com/images/P/1573222453.01.MZZZZZZZ.jpg,9.43,7
067154683X,DIARY ANNE FRANK,Anne Frank,1984,Pocket,http://images.amazon.com/images/P/067154683X.01.MZZZZZZZ.jpg,9.43,7
0451458222,"The Summer Tree (The Fionavar Tapestry, Book 1)",Guy Gavriel Kay,2001,Roc,http://images.amazon.com/images/P/0451458222.01.MZZZZZZZ.jpg,9.43,7
0345296052,The Fellowship of the Ring (Lord of the Rings (Paperback)),J. R. R. Tolkien,1981,Ballantine Books,http://images.amazon.com/images/P/0345296052.01.MZZZZZZZ.jpg,9.43,7
